PERMNO,date,NCUSIP,TICKER,COMNAM,PERMCO,CUSIP,NWPERM,PRC
10104,29/01/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,23.06000
10104,26/02/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,24.65000
10104,31/03/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,25.71000
10104,30/04/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,25.86750
10104,28/05/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,22.57000
10104,30/06/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,21.46000
10104,30/07/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,23.64000
10104,31/08/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,21.84500
10104,30/09/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,26.85000
10104,29/10/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,29.38000
10104,30/11/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,27.04500
10104,31/12/2010,68389X10,ORCL,ORACLE CORP,8045,68389X10,,31.30000
10104,31/01/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,32.03000
10104,28/02/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,32.90000
10104,31/03/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,33.43250
10104,29/04/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,35.96000
10104,31/05/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,34.22000
10104,30/06/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,32.91000
10104,29/07/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,30.58000
10104,31/08/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,28.07000
10104,30/09/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,28.74000
10104,31/10/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,32.77000
10104,30/11/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,31.35000
10104,30/12/2011,68389X10,ORCL,ORACLE CORP,8045,68389X10,,25.65000
10104,31/01/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,28.21000
10104,29/02/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,29.25500
10104,30/03/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,29.16000
10104,30/04/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,29.40000
10104,31/05/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,26.47000
10104,29/06/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,29.70000
10104,31/07/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,30.20000
10104,31/08/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,31.65000
10104,28/09/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,31.46000
10104,31/10/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,31.08000
10104,30/11/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,32.17500
10104,31/12/2012,68389X10,ORCL,ORACLE CORP,8045,68389X10,,33.32000
10104,31/01/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,35.51000
10104,28/02/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,34.24000
10104,28/03/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,32.33000
10104,30/04/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,32.78000
10104,31/05/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,33.78000
10104,28/06/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,30.71000
10104,31/07/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,32.35000
10104,30/08/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,31.86000
10104,30/09/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,33.17000
10104,31/10/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,33.50000
10104,29/11/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,35.29000
10104,31/12/2013,68389X10,ORCL,ORACLE CORP,8045,68389X10,,38.26000
10104,31/01/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,36.90000
10104,28/02/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,39.11000
10104,31/03/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,40.91000
10104,30/04/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,40.88000
10104,30/05/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,42.02000
10104,30/06/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,40.53000
10104,31/07/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,40.39000
10104,29/08/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,41.53000
10104,30/09/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,38.28000
10104,31/10/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,39.05000
10104,28/11/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,42.41000
10104,31/12/2014,68389X10,ORCL,ORACLE CORP,8045,68389X10,,44.97000
10104,30/01/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,41.89000
10104,27/02/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,43.82000
10104,31/03/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,43.15000
10104,30/04/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,43.62000
10104,29/05/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,43.49000
10104,30/06/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,40.30000
10104,31/07/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,39.94000
10104,31/08/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,37.09000
10104,30/09/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,36.12000
10104,30/10/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,38.84000
10104,30/11/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,38.97000
10104,31/12/2015,68389X10,ORCL,ORACLE CORP,8045,68389X10,,36.53000
10104,29/01/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,36.31000
10104,29/02/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,36.78000
10104,31/03/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,40.91000
10104,29/04/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,39.86000
10104,31/05/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,40.20000
10104,30/06/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,40.93000
10104,29/07/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,41.04000
10104,31/08/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,41.22000
10104,30/09/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,39.28000
10104,31/10/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,38.42000
10104,30/11/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,40.19000
10104,30/12/2016,68389X10,ORCL,ORACLE CORP,8045,68389X10,,38.45000
10104,31/01/2017,68389X10,ORCL,ORACLE CORP,8045,68389X10,,40.11000
10107,29/01/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,28.18000
10107,26/02/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,28.67000
10107,31/03/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,29.28750
10107,30/04/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,30.53500
10107,28/05/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,25.80000
10107,30/06/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,23.01000
10107,30/07/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,25.81000
10107,31/08/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,23.46500
10107,30/09/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,24.49000
10107,29/10/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,26.66500
10107,30/11/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,25.25750
10107,31/12/2010,59491810,MSFT,MICROSOFT CORP,8048,59491810,,27.91000
10107,31/01/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,27.72500
10107,28/02/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,26.58000
10107,31/03/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,25.39000
10107,29/04/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,25.92000
10107,31/05/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,25.01000
10107,30/06/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,26.00000
10107,29/07/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,27.40000
10107,31/08/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,26.60000
10107,30/09/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,24.89000
10107,31/10/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,26.63000
10107,30/11/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,25.58000
10107,30/12/2011,59491810,MSFT,MICROSOFT CORP,8048,59491810,,25.96000
10107,31/01/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,29.53000
10107,29/02/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,31.74000
10107,30/03/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,32.25500
10107,30/04/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,32.01500
10107,31/05/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,29.19000
10107,29/06/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,30.59000
10107,31/07/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,29.47000
10107,31/08/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,30.82000
10107,28/09/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,29.76000
10107,31/10/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,28.54000
10107,30/11/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,26.61500
10107,31/12/2012,59491810,MSFT,MICROSOFT CORP,8048,59491810,,26.70970
10107,31/01/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,27.45000
10107,28/02/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,27.80000
10107,28/03/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,28.60500
10107,30/04/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,33.10000
10107,31/05/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,34.90000
10107,28/06/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,34.54500
10107,31/07/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,31.84000
10107,30/08/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,33.40000
10107,30/09/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,33.28000
10107,31/10/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,35.40500
10107,29/11/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,38.13000
10107,31/12/2013,59491810,MSFT,MICROSOFT CORP,8048,59491810,,37.41000
10107,31/01/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,37.84000
10107,28/02/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,38.31000
10107,31/03/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,40.99000
10107,30/04/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,40.40000
10107,30/05/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,40.94000
10107,30/06/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,41.70000
10107,31/07/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,43.16000
10107,29/08/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,45.43000
10107,30/09/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,46.36000
10107,31/10/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,46.95000
10107,28/11/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,47.81000
10107,31/12/2014,59491810,MSFT,MICROSOFT CORP,8048,59491810,,46.45000
10107,30/01/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,40.40000
10107,27/02/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,43.85000
10107,31/03/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,40.65500
10107,30/04/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,48.64000
10107,29/05/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,46.86000
10107,30/06/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,44.15000
10107,31/07/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,46.70000
10107,31/08/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,43.52000
10107,30/09/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,44.26000
10107,30/10/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,52.64000
10107,30/11/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,54.35000
10107,31/12/2015,59491810,MSFT,MICROSOFT CORP,8048,59491810,,55.48000
10107,29/01/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,55.09000
10107,29/02/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,50.88000
10107,31/03/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,55.23000
10107,29/04/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,49.87000
10107,31/05/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,53.00000
10107,30/06/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,51.17000
10107,29/07/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,56.68000
10107,31/08/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,57.46000
10107,30/09/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,57.60000
10107,31/10/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,59.92000
10107,30/11/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,60.26000
10107,30/12/2016,59491810,MSFT,MICROSOFT CORP,8048,59491810,,62.14000
10107,31/01/2017,59491810,MSFT,MICROSOFT CORP,8048,59491810,,64.65000
10138,29/01/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,49.62000
10138,26/02/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,50.69000
10138,31/03/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,54.97000
10138,30/04/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,57.54000
10138,28/05/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,49.52000
10138,30/06/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,44.39000
10138,30/07/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,48.23000
10138,31/08/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,43.79000
10138,30/09/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,50.06500
10138,29/10/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,55.27000
10138,30/11/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,58.33000
10138,31/12/2010,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,64.54000
10138,31/01/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,65.92000
10138,28/02/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,66.98000
10138,31/03/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,66.42000
10138,29/04/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,64.25000
10138,31/05/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,63.30000
10138,30/06/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,60.34000
10138,29/07/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,56.80000
10138,31/08/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,53.48000
10138,30/09/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,47.77000
10138,31/10/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,52.84000
10138,30/11/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,56.76000
10138,30/12/2011,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,56.95000
10138,31/01/2012,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,57.84000
10138,29/02/2012,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,61.59000
10138,30/03/2012,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,65.30000
10138,30/04/2012,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,63.11500
10138,31/05/2012,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,57.59000
10138,29/06/2012,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,62.96000
10138,31/07/2012,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,60.75000
10138,31/08/2012,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10,,61.44000
