gvkey,splticrm,spsticrm,datadate,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,conm,tic,cusip
001045,B-,,31/01/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,28/02/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,31/03/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,30/04/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,31/05/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,30/06/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,31/07/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,31/08/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,30/09/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,31/10/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,30/11/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,31/12/2010,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,31/01/2011,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,28/02/2011,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,31/03/2011,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,30/04/2011,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
